survive,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
1,.0741653,-.0515415,.0384145,.051008,.0827923
1,.0714873,-.0922096,.0362849,.0521623,.0823853
1,.0696888,-.0482828,.0365202,.0517879,.0781051
1,.0691096,-.0653507,.0388375,.0518829,.0799957
1,.0690829,-.0923253,.036938,.0520924,.0749455
1,.0756915,-.0872225,.0390775,.0519742,.0917884
1,.0702175,-.0911253,.0377927,.0518978,.0789011
1,.0722495,-.085775,.0365186,.0527861,.081731
1,.0718049,-.0843921,.0380922,.0519875,.0842988
1,.0700066,-.0924023,.036135,.0516531,.0775977
1,.0639044,-.0894343,.0386647,.0520959,.0706117
1,.0706534,-.0840105,.0371381,.0519925,.0793694
1,.0655754,.1919897,.0406234,.0517073,.0689525
1,.0554358,-.0838217,.0373757,.0516343,.0625522
1,.0699012,-.0907986,.0374448,.0517741,.0771481
1,.0692379,-.0838061,.0371919,.0515492,.0785784
1,.0672114,-.0844761,.0378815,.0516887,.075985
1,.0576478,-.0920887,.0368262,.0507105,.0622422
1,.0701114,-.0894833,.0385075,.0517537,.0785147
1,.0703778,-.0917323,.0368454,.0519344,.0789697
1,.0702272,-.092277,.0365936,.0514977,.0777409
1,.0680358,-.0892558,.0399111,.0521889,.0739749
1,.0699004,-.092208,.0360619,.0515811,.077979
1,.0700948,-.0920668,.0363265,.0517057,.0781372
1,.0728764,-.0887145,.0370089,.0517808,.0843956
1,.0728307,-.0779551,.0381285,.0518819,.085252
1,.0702887,-.0764863,.0338641,.0445077,.0721017
1,.0706378,-.0757044,.0406616,.0521904,.0795444
1,.0701362,.0432283,.0385605,.0518889,.0791659
1,.0700264,-.013763,.0408206,.0515975,.0753514
1,.0689465,1.02445,.040669,.0519012,.0750132
1,.067872,-.0900245,.0382054,.0521565,.0763641
1,.0719486,-.0899756,.0378758,.0520142,.080973
1,.0713734,-.0862168,.0372244,.0508489,.0798324
1,.028975,-.0928955,-.003542,.0090517,.0474602
1,.0719948,-.0869041,.0370485,.0519744,.0821376
1,.0724287,-.0919746,.0363177,.0518934,.0845018
1,.1034764,-.0910785,.0367626,.051445,.067568
1,.0687424,-.0880017,.0371927,.0518619,.0792123
1,.0700473,-.0914883,.0363993,.0516041,.0782605
1,.0727392,-.016348,.0406114,.0510585,.0804848
1,.0732082,-.0834746,.0383091,.0520315,.0770177
1,.0743607,-.0891039,.0372805,.0518553,.0874289
1,.0680872,-.092753,.0363965,.0511565,.0732212
1,.0673066,-.0860745,.0378842,.0512883,.0750501
1,.0718224,-.0901267,.0387997,.0522485,.0812651
1,.0731659,-.0878935,.0376264,.0513718,.085616
1,.0711457,.3531983,.0399172,.0520415,.0803681
1,.0737456,-.0851522,.0388657,.0526777,.0865342
1,.0676488,-.0894905,.0364904,.0511837,.0758588
1,.0696747,-.0861893,.0384179,.0517225,.0772577
1,.0468588,-.091459,.0381646,.0484613,.0466963
1,-.5513035,-.0928481,-.0020344,-.2272915,-.6644707
1,.0706325,-.0880341,.0370752,.0519159,.0807826
1,.0701125,-.0923222,.0363709,.0515428,.0778608
1,.07164,-.089241,.0387589,.0521977,.0826521
1,.0695166,-.0921708,.0365618,.0514413,.0787652
1,.0688766,-.0873272,.0375535,.0517908,.086971
1,.0699752,-.0884257,.0371981,.0520695,.078203
1,.0728673,-.046397,.0385429,.0522761,.0845671
1,.0521949,-.0816138,.0391333,.0516782,.0703634
1,.0679637,.0584839,.0382272,.0521846,.0729115
1,.0712859,.7394899,.0384074,.0515643,.081007
1,.071438,-.058666,.0372265,.0511274,.0778693
1,.0712603,.2371744,.0380569,.0518283,.0822893
1,.0723954,-.0763355,.0370103,.0521289,.0848555
1,.0724043,-.0544654,.0384687,.0520924,.0815341
1,.0723556,-.0913407,.0367836,.0521563,.0835688
1,.0738874,-.0816209,.0372939,.0526843,.0902709
1,.0715258,-.0838185,.0369845,.0517316,.0805792
1,.070545,-.0885193,.037823,.0515264,.0800042
1,.0535433,-.0907558,.0383362,.0524288,.0804327
1,.0679469,-.0909094,.0370597,.0515039,.075427
1,.0714518,-.0885633,.0370077,.0518448,.0823351
1,.0681957,2.874225,.0368329,.0518721,.0774219
1,.0695404,-.0921119,.0371163,.0518717,.0760371
1,.0693463,-.0919667,.0363819,.051409,.0778302
1,.0616434,-.0415482,.0387566,.0515706,.0632855
1,.070492,-.0896474,.0364604,.0517642,.0793687
1,.0712374,-.0718857,.0388372,.0514308,.0720073
1,.0750312,-.0876183,.0386436,.0508419,.0836514
1,.0711216,-.0747142,.0374158,.0518445,.0800743
1,.0748013,-.0577329,.0374234,.051762,.0797946
1,.069825,-.0913601,.0365732,.0516396,.0772118
1,.0711692,-.0844105,.0376113,.0521671,.0803484
1,.0726014,-.0826119,.0363264,.0519824,.082269
1,.0699004,-.0897474,.0367141,.0515713,.0776692
1,.0695174,-.0911718,.0367122,.0517178,.0771867
1,.0636731,-.0800494,.0392567,.0512621,.0727286
1,-.7928067,-.0929294,-.3293316,-.653408,-1.015703
1,.0693956,-.0900168,.0391707,.05193,.0754588
1,.0722337,-.0534308,.038141,.0520381,.0852557
1,.0583901,.207811,.0398519,.0506244,.0675912
1,.0691734,-.0843968,.0386097,.051293,.0800828
1,.0740922,-.0891693,.037223,.0521131,.085243
1,.0718536,-.0882213,.0380595,.052354,.0835208
1,.0728727,.2933381,.0397577,.0517772,.0856517
1,.069671,-.0849622,.0373564,.0514626,.0774231
1,.071013,-.0919955,.0363811,.0516234,.0769829
1,.0689404,-.0849908,.0368277,.051422,.0758214
1,.0698684,.0626446,.0376022,.0519019,.0787365
1,.0725978,-.0411948,.0387332,.0519281,.0836719
1,.0709429,-.0788577,.0378731,.0517785,.0804746
1,.0696871,-.0878393,.0365504,.0514608,.0780669
1,.0743838,-.0909302,.037689,.0522728,.086271
1,.0678521,-.0889854,.0367364,.0517902,.0752086
1,.0689214,-.0883879,.0371443,.0516544,.0755592
1,.0693084,-.0923614,.0362003,.0513174,.077421
1,.0635383,-.0913047,.0362812,.0516949,.0648458
1,.0704117,-.0702612,.0392777,.0517584,.0787376
1,.069055,-.0900454,.0366758,.0517557,.0771983
1,.0695488,-.0921121,.0363801,.0515225,.0771512
1,.0734132,-.0754589,.036589,.0518238,.0872389
1,.0648384,-.0893152,.0382864,.0519874,.0707284
1,.0441408,-.0796041,.0377047,.0417778,.0568431
1,.0661695,-.0872412,.0378475,.0518534,.0762732
1,.0692031,-.0535335,.0364145,.051574,.076909
1,.0713603,-.0904389,.0388065,.0519384,.0810615
1,.0691124,.0210767,.0396572,.0516395,.0761415
1,.0697178,-.0826316,.0382672,.0522754,.0749141
1,.0729522,-.0898527,.0367559,.0519693,.0850568
1,.0719925,2.661103,.0370956,.0520913,.0835158
1,.0692697,-.091484,.0377912,.0518501,.076733
1,.0686283,-.0888075,.0363507,.0517994,.0805374
1,.0698569,-.0912902,.038239,.05184,.0773485
1,.0645243,-.0910022,.0392266,.0509649,.0633206
1,.0694771,-.0739851,.0391307,.0521527,.0762659
1,.07139,-.0820223,.0392926,.0516057,.0823251
1,.0709217,.0360553,.0395211,.0516329,.0790709
1,.0701495,-.0920278,.0366924,.0516873,.0788215
1,.0614485,-.021119,.0393655,.0523802,.0697311
1,.059782,-.0288112,.0381493,.0503732,.0717901
1,.0679754,-.0499728,.0385112,.0520464,.0746133
1,.0647929,-.092518,.0360608,.0513159,.0781954
1,.0701519,-.0820214,.0379139,.052252,.0794796
1,.0695697,-.0897188,.0376061,.0516491,.0764584
1,.0718973,-.0926733,.0280657,-.0330252,.0790959
1,.0721922,-.0923738,.0363544,.051902,.0726637
1,.0756614,.0534347,.0378729,.0517718,.0901136
1,.0713317,.4290115,.0382301,.0517876,.0822722
1,.0697863,-.0837742,.0392811,.052192,.0788335
1,.0704811,-.0888775,.0367566,.0518434,.0794811
1,.0660331,-.0913929,.0380147,.0518884,.0696545
1,.070948,-.0872775,.0369104,.0520975,.0804566
1,.0656273,-.071935,.0382404,.0523048,.0702487
1,.0623116,-.0918721,.0384017,.0507534,.0665937
1,.0675544,-.0780682,.036869,.0517247,.0793095
1,.0703002,-.0921374,.0366259,.0516118,.0784757
1,.0666675,-.0613071,.0375198,.0518075,.0719729
1,.0713848,.1188024,.040479,.0522273,.0803148
1,.0610034,-.0901476,.0366118,.0515346,.077702
1,.0699049,-.0573507,.0366526,.0518801,.0781974
1,.0695312,-.0926558,.0358019,.0519138,.0778467
1,.0691637,-.090102,.0369644,.0518274,.0796969
1,.0675831,-.0898952,.0376481,.0517444,.0771456
1,.0679273,-.0888526,.0372219,.0517386,.0754413
1,.0735215,-.0771455,.038523,.0519327,.0854939
1,.024693,-.0878339,.0364715,.0503945,.0620213
1,.0691078,-.0917354,.0364803,.0522013,.0767767
1,.0725161,-.0902554,.0367289,.0517025,.0839964
1,.0721215,-.0463905,.0369099,.0515474,.0810217
1,.0753401,-.032315,.0365222,.0526681,.0890611
1,.0736225,42.7786,.0369291,.0525492,.0876458
1,.0705287,2.20943,.0374961,.0517593,.0787946
1,.0680206,-.0263819,.0408511,.0523741,.0731607
1,-.1350764,-.0929245,-.0581348,-.0626194,-.1451106
1,.0735092,-.0917131,.0375539,.0520537,.0859212
1,.0712181,-.0906118,.0369972,.0517663,.0811689
1,.0737264,-.0871822,.0371859,.0518587,.0778189
1,.0693477,-.0921254,.0365706,.0514148,.076864
1,.0612031,-.0912777,.0372775,.0512415,.0650254
1,.0692084,-.0908709,.0372847,.0514831,.0777813
1,.0700136,-.0914146,.0366679,.0517098,.0782179
1,.0694812,-.0927883,.0358618,.0515431,.07693
1,.0701611,-.0917249,.0371384,.0514921,.0806788
1,.0707408,-.0844013,.0384625,.0522812,.0800179
1,.0738208,-.087284,.037879,.0522995,.0867337
1,.06965,-.0827389,.0366863,.0516393,.0769498
1,.0703933,.0050467,.0368445,.0516296,.0791241
1,.0693043,-.0905045,.0379343,.0516667,.0749307
1,.0669053,-.0577575,.0370982,.0516695,.0749037
1,.0697069,-.0881973,.037514,.0520644,.0758038
1,.0774831,.0803202,.0403263,.0515636,.0970533
1,.0688002,-.0915845,.0367785,.0515574,.0761353
1,.0699591,-.0719388,.0383729,.0517657,.0779995
1,.0683998,-.0833331,.0384631,.0515365,.0746457
1,.0706539,.0554545,.0367255,.0516514,.080417
1,.0699037,-.0919104,.03621,.0516604,.0783948
1,.0714775,28.44067,.0370552,.0520447,.0807615
1,.0684295,-.0919264,.0369208,.0513742,.0796059
1,.0694699,-.0874067,.0374005,.0515388,.0793792
1,.0681238,.09167,.0379296,.0515491,.0756076
1,.0686674,-.0911297,.0372603,.0515469,.0750584
1,.0654879,-.0637254,.0406749,.0483021,.0687379
1,.0610289,-.0919659,.0382691,.0519146,.070441
1,.0695601,.3040642,.0370084,.0510842,.0790994
1,.0690604,-.0925559,.0358755,.0514618,.0773281
1,.071443,-.0907987,.0387445,.0516467,.0819581
1,.0718724,-.0846938,.038735,.0520354,.0838228
1,.0690244,-.0914745,.0367973,.0516712,.0752956
1,.0690921,-.0919537,.0365187,.0518635,.0763407
1,.0687834,3.828636,.0364275,.0517231,.0769915
1,.0705122,-.0915202,.0368686,.0516861,.0812122
1,.0711364,-.0810294,.0374807,.0515585,.0834337
1,.0668909,-.08793,.038297,.0513173,.0721582
1,.0745058,-.0688301,.0399601,.051964,.0858777
1,.0696729,-.0917184,.0366601,.0517803,.0780139
1,.0730608,-.0922012,.0370377,.0505685,.0874745
1,.0603157,-.0813594,.03786,.0522321,.0842092
1,.0715398,-.0892827,.0385071,.0515554,.0827347
1,.0702091,-.0914184,.0365393,.0518066,.0788174
1,.0694408,-.0831976,.0386273,.0517515,.0747759
1,.0689216,-.0900031,.0364554,.0516433,.0755436
1,.0695764,-.090496,.036565,.0515652,.077592
1,.0690043,-.0920718,.0361051,.0515165,.0768442
1,.0697057,-.0920553,.0363611,.0515292,.0778844
1,.0699544,-.0895899,.0366902,.0516632,.0783507
1,.0710257,-.0660125,.0367932,.0516077,.0794517
1,.0653185,-.0758797,.0391975,.0516654,.0691167
1,.0699148,-.0921709,.0362475,.0516207,.078483
1,.0696854,-.0813198,.036355,.0514964,.0775666
1,.0774387,-.0285707,.038786,.0521955,.092854
1,.067428,.1218949,.0385374,.0521061,.0727601
1,-.056215,-.0929036,.0247334,.0458834,.0423736
1,.0714886,-.0820733,.0367297,.0521325,.0812665
1,.0714858,-.0888119,.0389903,.0515654,.0825757
1,.0698327,-.0882509,.0384532,.0502112,.0769601
1,.0705331,-.0821465,.037369,.0517734,.0779214
1,.0698245,-.0925867,.0360426,.05157,.0773006
1,.0700333,-.0922894,.0364513,.0516926,.0786012
1,.071412,-.085541,.0386718,.0522828,.080696
1,.0701075,-.0923688,.0360124,.051648,.0785911
1,.0695737,-.0922175,.036035,.0516067,.0787086
1,.0693849,-.0918801,.0365193,.0515729,.0767936
1,.0657749,-.0895549,.0405526,.0513559,.0750936
1,.0691653,-.0912533,.0369739,.0516253,.0756574
1,.0692489,-.0850331,.0374382,.0521156,.0734916
1,.0712156,.079558,.0388918,.0517869,.0817975
1,.0688967,-.0631651,.0372799,.0513223,.0764854
1,.0693338,-.0903884,.0370132,.0513141,.0812266
1,.0629464,-.0924236,.0372644,.0516967,.0710258
1,.0695638,-.0858775,.0375596,.0520154,.0784781
1,.0697976,-.0917764,.0362468,.0515752,.0775979
1,.0702918,-.0923362,.0360526,.0517306,.0770558
1,.0697905,-.0613824,.036625,.0516014,.0777632
1,.0667571,-.0841729,.0387294,.0518597,.0708719
1,.0694255,-.0705645,.0403828,.0524141,.0768286
1,.0680187,-.0826188,.0394018,.0513796,.0769234
1,.0688296,-.0810686,.0378005,.0514254,.0768766
1,.0708376,-.0908564,.0371882,.0520303,.0801377
1,.0658208,-.0924442,.0365884,.0509186,.0739759
1,.069398,-.0875037,.0382415,.0515397,.0775672
1,.0695165,-.0921578,.0364979,.0514407,.0777608
1,.0693627,-.0905518,.0365998,.0516324,.076979
1,.0698337,.040022,.0372848,.0519093,.0784678
1,.0689325,-.090743,.0364888,.0516554,.0756345
1,.0752785,-.0842382,.0370695,.0523213,.0880024
1,.0707009,-.0763898,.0371481,.0515594,.0791035
1,.0703351,-.0893185,.0371973,.0516862,.0791115
1,.0709944,-.0914949,.0365914,.0516075,.0810668
1,.0697521,-.0924919,.0362857,.0515916,.0782697
1,.0724669,-.0905478,.0360216,.052118,.0856542
1,.0749502,-.0913149,.0361987,.0516168,.0896024
1,.0691014,-.0868396,.0372752,.0520467,.0759523
1,.0699388,-.0900933,.0363162,.0517335,.0774409
1,.070282,-.0924901,.0362401,.051634,.0788235
1,.071552,-.06564,.0401999,.051837,.0821463
1,.0689789,.1140061,.0382215,.0521568,.0726283
1,.0707477,-.088718,.0367455,.0519791,.0808149
1,.0701934,-.0873137,.0367094,.0517224,.0797155
1,.0702498,-.0904164,.0370575,.0513274,.0794967
1,.0515144,-.0917949,.0369454,.0474992,.0606882
1,.0727618,-.0628484,.0369422,.0512771,.0814825
1,.0729534,-.0713762,.0391752,.0520761,.0845218
1,.0730236,-.0925093,.0359798,.0519215,.0822304
1,.0695964,-.0890019,.036711,.0515973,.077343
1,.06955,-.0920124,.036446,.0515443,.0763548
1,.0699289,-.0921477,.0365165,.0514733,.0780293
1,.0695756,-.0402563,.0363483,.051572,.0776123
1,.0710112,-.0918261,.0365282,.0516492,.0814627
1,.0692044,-.0918246,.0363397,.0514792,.077128
1,.0711532,-.0762528,.0399609,.0514618,.0788666
1,.0703422,-.0666606,.0380925,.0517886,.0792682
1,.0677092,.1033507,.0404771,.0515088,.0736489
1,.0699914,-.0882537,.0378547,.0504466,.0785879
1,.0700029,-.0878696,.0364236,.0515794,.0816694
1,.0712168,.0151013,.038252,.0516171,.0815364
1,.0721045,-.090322,.0373866,.0520868,.082385
1,.0705375,-.0554238,.0385558,.0518196,.0791578
1,.0654986,-.0908958,.0367055,.0518569,.0796421
